2023-09-22 08:10:14,475.v1_producer.INFO ==================================================
2023-09-22 08:10:14,476.v1_producer.INFO Today is 2023-09-22 at 08:10 AM
2023-09-22 08:10:14,476.v1_producer.INFO Running on: nt Windows 10
2023-09-22 08:10:14,477.v1_producer.INFO Python version:  3.10.8
2023-09-22 08:10:14,477.v1_producer.INFO Python path: C:\Users\KONGA\miniconda3
2023-09-22 08:10:14,478.v1_producer.INFO Working dir: C:\Users\KONGA\Documents\streaming-05-smart-smoker
2023-09-22 08:10:14,479.v1_producer.INFO ==================================================
2023-09-22 08:10:14,675.v1_producer.INFO  [x] Sent ('05/22/21 12:20:15', '84.2') to 01-smoker
2023-09-22 08:10:14,676.v1_producer.INFO  [x] Sent ('05/22/21 12:20:15', '') to 02-food-A
2023-09-22 08:10:14,677.v1_producer.INFO  [x] Sent ('05/22/21 12:20:15', '') to 03-food-B
2023-09-22 08:10:44,687.v1_producer.INFO  [x] Sent ('05/22/21 12:20:20', '84.2') to 01-smoker
2023-09-22 08:10:44,688.v1_producer.INFO  [x] Sent ('05/22/21 12:20:20', '') to 02-food-A
2023-09-22 08:10:44,689.v1_producer.INFO  [x] Sent ('05/22/21 12:20:20', '') to 03-food-B
2023-09-22 08:11:14,697.v1_producer.INFO  [x] Sent ('05/22/21 12:21:10', '87.6') to 01-smoker
2023-09-22 08:11:14,699.v1_producer.INFO  [x] Sent ('05/22/21 12:21:10', '') to 02-food-A
2023-09-22 08:11:14,700.v1_producer.INFO  [x] Sent ('05/22/21 12:21:10', '') to 03-food-B
2023-09-22 08:11:44,703.v1_producer.INFO  [x] Sent ('05/22/21 12:21:15', '87.6') to 01-smoker
2023-09-22 08:11:44,704.v1_producer.INFO  [x] Sent ('05/22/21 12:21:15', '') to 02-food-A
2023-09-22 08:11:44,704.v1_producer.INFO  [x] Sent ('05/22/21 12:21:15', '') to 03-food-B
2023-09-22 08:12:14,719.v1_producer.INFO  [x] Sent ('05/22/21 12:22:10', '86.3') to 01-smoker
2023-09-22 08:12:14,720.v1_producer.INFO  [x] Sent ('05/22/21 12:22:10', '') to 02-food-A
2023-09-22 08:12:14,720.v1_producer.INFO  [x] Sent ('05/22/21 12:22:10', '') to 03-food-B
2023-09-22 08:12:44,730.v1_producer.INFO  [x] Sent ('05/22/21 12:22:15', '86.3') to 01-smoker
2023-09-22 08:12:44,732.v1_producer.INFO  [x] Sent ('05/22/21 12:22:15', '') to 02-food-A
2023-09-22 08:12:44,733.v1_producer.INFO  [x] Sent ('05/22/21 12:22:15', '') to 03-food-B
2023-09-22 08:13:14,737.v1_producer.INFO  [x] Sent ('05/22/21 12:23:10', '92.0') to 01-smoker
2023-09-22 08:13:14,737.v1_producer.INFO  [x] Sent ('05/22/21 12:23:10', '') to 02-food-A
2023-09-22 08:13:14,738.v1_producer.INFO  [x] Sent ('05/22/21 12:23:10', '') to 03-food-B
2023-09-22 08:13:44,746.v1_producer.INFO  [x] Sent ('05/22/21 12:23:15', '92.0') to 01-smoker
2023-09-22 08:13:44,747.v1_producer.INFO  [x] Sent ('05/22/21 12:23:15', '') to 02-food-A
2023-09-22 08:13:44,747.v1_producer.INFO  [x] Sent ('05/22/21 12:23:15', '') to 03-food-B
2023-09-22 08:14:14,757.v1_producer.INFO  [x] Sent ('05/22/21 12:24:10', '96.8') to 01-smoker
2023-09-22 08:14:14,758.v1_producer.INFO  [x] Sent ('05/22/21 12:24:10', '') to 02-food-A
2023-09-22 08:14:14,759.v1_producer.INFO  [x] Sent ('05/22/21 12:24:10', '') to 03-food-B
2023-09-22 08:14:44,774.v1_producer.INFO  [x] Sent ('05/22/21 12:24:15', '96.8') to 01-smoker
2023-09-22 08:14:44,775.v1_producer.INFO  [x] Sent ('05/22/21 12:24:15', '') to 02-food-A
2023-09-22 08:14:44,775.v1_producer.INFO  [x] Sent ('05/22/21 12:24:15', '') to 03-food-B
2023-09-22 08:15:14,793.v1_producer.INFO  [x] Sent ('05/22/21 12:25:05', '100.6') to 01-smoker
2023-09-22 08:15:14,794.v1_producer.INFO  [x] Sent ('05/22/21 12:25:05', '') to 02-food-A
2023-09-22 08:15:14,795.v1_producer.INFO  [x] Sent ('05/22/21 12:25:05', '') to 03-food-B
2023-09-22 08:15:44,812.v1_producer.INFO  [x] Sent ('05/22/21 12:25:10', '100.9') to 01-smoker
2023-09-22 08:15:44,812.v1_producer.INFO  [x] Sent ('05/22/21 12:25:10', '') to 02-food-A
2023-09-22 08:15:44,813.v1_producer.INFO  [x] Sent ('05/22/21 12:25:10', '') to 03-food-B
